student_id, name,surname,email,lecture,points, how_many_times_attended
2014-92067,AHMET,ISIK,ahmetisik@ce1.marmara.edu.tr,CS231,98,1
2015-06886,ISMAIL,FATIH,i.fatih@ce1.marmara.edu.tr,CS231,84,2
2015-25195,NUR,SIMSEK,n.simsek@ce1.marmara.edu.tr,CS231,12,2
2015-25195,NUR,SIMSEK,n.simsek@ce1.marmara.edu.tr,CS101,13,1
2015-31713,ISMAIL,GUL,i.gul@ce1.marmara.edu.tr,CS231,50,1
2015-48566,CIGDEM,HIKMET,c.hikmet@ce1.marmara.edu.tr,CS101,57,2
2015-48566,CIGDEM,HIKMET,c.hikmet@ce1.marmara.edu.tr,CS231,60,1
2015-82941,OKAN,YILMAZ,o.yilmaz@ce1.marmara.edu.tr,CS101,89,2
2014-36924,SEMRA,AKTAS,semraaktas@ce1.marmara.edu.tr,CS101,87,1
2014-63745,BILGE,OZDEMIR,bilgeozdemir@ce1.marmara.edu.tr,CS231,78,1
2014-41957,SALIH,AYDIN,salihaydin@ce1.marmara.edu.tr,CS101,79,1
2015-53650,GULSUM,CAN,g.can@ce1.marmara.edu.tr,CS231,33,2
2015-53650,GULSUM,CAN,g.can@ce1.marmara.edu.tr,CS101,11,2
2015-53650,GULSUM,CAN,g.can@ce1.marmara.edu.tr,CS102,10,1
2014-36182,ALI,SIMSEK,alisimsek@ce1.marmara.edu.tr,CS231,51,2
2014-36182,ALI,SIMSEK,alisimsek@ce1.marmara.edu.tr,CS101,86,2
2014-69860,EMRE,ISIK,emreisik@ce1.marmara.edu.tr,CS101,99,2
2014-69860,EMRE,ISIK,emreisik@ce1.marmara.edu.tr,CS102,91,2
2014-90020,GULSUM,AYDIN,gulsumaydin@ce1.marmara.edu.tr,CS231,51,1
2014-90020,GULSUM,AYDIN,gulsumaydin@ce1.marmara.edu.tr,CS101,11,2
2015-13628,CIGDEM,SULEYMAN,c.suleyman@ce1.marmara.edu.tr,CS231,32,2
2015-59894,HILAL,OZDEMIR,h.ozdemir@ce1.marmara.edu.tr,CS231,14,1
2015-59894,HILAL,OZDEMIR,h.ozdemir@ce1.marmara.edu.tr,CS101,92,2
